Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Item_Outlet_Sales
17.7,0.195068226,185.4266,1998,,184.4266
13.65,0.078946455,186.024,2002,,1118.544
17.6,0.041700756,164.8526,2002,,2302.3364
15.85,0.121531501,59.222,1987,High,599.22
18.25,0,164.7526,2002,,4604.6728
7.855,0.011324862,189.6188,2007,,2285.0256
7.825,0.186357148,254.3698,1999,Medium,5580.7356
12.85,0.033230816,172.3422,1999,Medium,1207.0954
19,0.112556507,104.9622,2007,,1587.933
5.905,0,222.5456,2002,,5305.0944
16.75,0.045230944,187.9556,2009,Medium,4693.89
,0.031382044,171.3764,1985,Medium,3091.9752
15.5,0.12639886,177.0028,2007,,2479.4392
,0.039057677,155.963,1985,Medium,3285.723
20.85,0.039624006,117.2808,1999,Medium,1523.3504
20.75,0.040421193,122.173,1998,,369.519
8.895,0.105274111,39.9138,1999,Medium,690.4346
19.6,0.033970195,55.1614,2002,,1381.535
12.15,0.131383762,246.046,1999,Medium,1231.73
,0.028459761,149.9708,1985,Medium,4363.6532
13.3,0.063695084,151.0708,2002,,1805.6496
,0.045797829,178.5344,1985,Medium,2854.9504
8.31,0.115857223,179.1028,1999,Medium,3896.2616
16.75,0.024832806,38.7822,1987,High,667.7974
19.75,0.034027909,212.0902,2009,Medium,3185.853
17.1,0.0467696,141.1838,1987,High,2247.7408
10.5,0.116576702,163.121,1987,High,1794.331
6.635,0,121.3098,2002,,2530.7058
14.15,0.035913805,41.4138,1987,High,812.276
8.89,0.005505481,102.4016,2007,,2732.4432
,0.071636937,121.7098,1985,Medium,4097.3332
9.1,0,173.2054,2002,,3151.8972
7.5,0.032677678,239.0906,1999,Medium,5942.265
16.85,0.160760054,192.4478,2007,,4843.695
11.6,0.041177505,140.3154,2007,,2552.6772
11.65,0.040081193,227.0694,2009,Medium,1141.847
13,0.035307322,47.5034,2007,,680.4476
12.65,0.063017847,159.0578,2002,,2085.9514
20.25,0.171938781,92.512,1998,,186.424
12.6,0.049058014,62.7194,2007,,866.8716
19.25,0.102349519,52.7956,2007,,928.1252
8.88,0.086708987,151.7682,1987,High,762.341
20.5,0.032835147,40.2822,2002,,707.0796
,0.033809913,180.5976,1985,Medium,7968.2944
,0.144338493,224.4404,1985,Medium,6976.2524
8.89,0.009163216,101.7016,1998,,101.2016
7.855,0.011307038,188.5188,2009,Medium,952.094
,0.059956876,165.4526,1985,Medium,5262.4832
6.92,0.038532062,60.5852,2002,,1314.2892
9.3,0.043209581,90.8172,2007,,535.3032
18.5,0.056816465,132.1284,1998,,263.6568
9.195,0.048331717,105.1622,2007,,1693.7952
12.8,0.091221855,105.5938,2002,,2143.876
16.6,0.027622076,177.6344,1999,Medium,2676.516
18.6,0.039355947,246.3802,1999,Medium,7370.406
14.6,0.151419185,50.3692,2007,,1034.6532
13.85,0.026001976,161.521,2009,Medium,1794.331
13.65,0.073209447,197.6426,2009,Medium,2768.3964
,0.041683481,31.29,1985,Medium,898.83
18.35,0.014081156,223.5746,2009,Medium,3589.9936
5.465,0,132.5626,2009,Medium,262.3252
18.6,0.152918384,99.8358,2007,,1910.1802
13.85,0.030969274,140.9154,2007,,1701.7848
14,0.060376776,154.5656,1987,High,2471.4496
14,0.04192285,54.764,1987,High,1331.6
,0.077367431,97.0094,1985,Medium,1808.9786
5.905,0.045838211,222.5456,2009,Medium,3315.684
19.5,0.077608838,233.4958,2007,,5375.0034
15.2,0.021327477,216.8824,2007,,2838.9712
12.15,0.042485444,125.0046,2009,Medium,1743.0644
,0.025578526,198.8084,1985,Medium,5555.4352
12.6,0.0489808,61.9194,2009,Medium,619.194
16.6,0.122918852,173.0738,2007,,3823.0236
11.8,0.057373797,151.4366,1987,High,1360.2294
13.1,0.044155597,178.8318,1987,High,3969.4996
17.7,0.291865402,115.1834,1998,,345.5502
17.85,0,196.5794,1998,,585.2382
12.3,0.064750025,92.6804,2002,,1010.6844
11.8,0.098312421,81.4618,1998,,161.1236
11.1,0.176573035,157.4604,2002,,3010.7476
,0.060134441,153.0656,1985,Medium,6024.1584
11.3,0.007294652,198.1426,2002,,988.713
5.75,0.075107656,112.8176,1987,High,1374.2112
,0.049381406,226.8062,1985,Medium,4739.8302
11.35,0.045165796,100.0016,2009,Medium,1012.016
14,0.028907832,130.431,1999,Medium,778.986
19.75,0.018059621,179.766,2002,,2336.958
6.525,0.090436094,85.0882,1999,Medium,2233.0932
10.3,0.146399712,103.9648,1999,Medium,1661.8368
5.78,0.074264356,264.7568,1999,Medium,4745.8224
11.85,0.050186726,164.1526,2002,,3124.5994
16.35,0.020631654,50.1324,2009,Medium,467.3916
,0.01561108,182.5976,1985,Medium,5070.7328
14.6,0.059582996,238.8538,1999,Medium,6008.845
,0.098663652,62.9194,1985,Medium,2105.2596
,0.101338651,232.63,1985,Medium,5359.69
18.75,0.052146456,104.628,2002,,745.696
18.25,0.054344186,140.2154,2002,,1701.7848
,0.078362484,177.937,1985,Medium,6704.606
15.5,0.042464962,81.5934,1998,,327.5736
13.65,0.065732883,45.7402,1999,Medium,780.9834
16.1,0.023625114,189.3846,2002,,3630.6074
12.85,0.165694219,39.7164,1998,,231.6984
5.78,0,263.7568,2007,,2636.568
19.7,0.026903714,96.0726,2002,,1272.3438
14.65,0,161.5552,1998,,324.9104
6.67,0.150554711,130.0626,1998,,131.1626
6.11,0,131.2968,1998,,260.9936
13.65,0.134975628,260.0936,1998,,260.9936
17.2,0.15616879,160.6578,1987,High,3690.5294
4.88,0.133700752,52.9298,1999,Medium,1995.4026
5.425,0.115119905,88.3514,2007,,1416.8224
7.5,0.051038045,121.7072,2007,,3552.7088
12.65,0.062837968,161.5578,1987,High,2406.867
20.75,0.024129332,124.173,1987,High,2956.152
,0.101561568,181.9292,1985,Medium,3101.2964
,0.005949644,165.6526,1985,Medium,4769.1254
,0.13956116,170.4764,1985,Medium,3435.528
14.1,0.126035694,86.4198,2002,,1133.8574
,0.04357366,192.8846,1985,Medium,2293.0152
12.3,0.064565202,92.9804,1987,High,1929.4884
,0.084554569,109.8912,1985,Medium,2074.6328
,0.058451805,79.9618,1985,Medium,241.6854
17.25,0.113748685,251.3724,2002,,6795.1548
15.85,0.020603511,42.7112,2007,,639.168
16.35,0.062764429,227.6062,2007,,7222.5984
12,0.033946163,179.3976,1987,High,3440.8544
10.1,0.027106459,75.367,1999,Medium,535.969
17.5,0.027022883,262.491,2007,,5259.82
17.1,0.128937661,112.3886,2009,Medium,1779.0176
7.785,0.088846306,61.451,1999,Medium,759.012
11.8,0.09357779,125.9704,1987,High,1877.556
13.15,0.165694678,171.8764,2002,,3779.0808
8.5,0.098438394,51.1324,2007,,259.662
8.645,0.143303291,96.341,1987,High,193.082
17.6,0.076276208,110.9202,2002,,1687.803
9.1,0.175103435,127.5362,2007,,4655.9394
12.8,0.023511371,225.9404,1987,High,4950.8888
9.285,0.049559042,246.4144,2007,,1225.072
13.6,0.119418124,231.03,2002,,5359.69
8.895,0.072545601,176.237,2002,,1764.37
16.35,0.090486828,195.211,1987,High,2553.343
17.6,0.056245075,43.3454,1987,High,1006.6896
7.975,0.014618973,85.225,1987,High,1081.925
15.85,0.043479126,36.7164,2007,,308.9312
15.7,0.045166237,178.666,1987,High,2516.724
20.35,0.089394766,260.1594,1987,High,2093.2752
6.59,0.10550944,85.6908,1987,High,1929.4884
,0.03292824,173.1738,1985,Medium,7298.4996
16.75,0.081252534,256.4988,1987,High,7452.9652
17.6,0.076552407,110.5202,2007,,450.0808
7.905,0.016758569,250.4408,1998,,500.6816
,0.044248175,126.202,1985,Medium,3668.558
7.785,0.038288087,103.1964,2009,Medium,736.3748
,0.031867464,101.0016,1985,Medium,2125.2336
20.75,0.021370201,153.0024,2007,,2277.036
18.2,0.082551042,147.3734,1998,,296.9468
13,0.099729888,46.306,2009,Medium,559.272
8.695,0.119721451,95.5094,1999,Medium,1237.7222
7.27,0.071222087,113.5518,2002,,569.259
,0.060371962,174.0712,1985,Medium,3866.9664
12.85,0.033287541,198.4768,2002,,1379.5376
7.075,0.05858462,142.7128,2009,Medium,1869.5664
,0.11679292,196.211,1985,Medium,5499.508
8.195,0.031452265,94.3462,1999,Medium,925.462
19.35,0.049916364,80.2644,2007,,942.7728
,0.02747716,87.9856,1985,Medium,3251.7672
17.85,0.147023834,93.7436,2009,Medium,1134.5232
9.395,0.159657596,224.972,2002,,7696.648
15.75,0.141398626,250.5382,2007,,2775.7202
7.475,0.148821808,241.2854,2002,,5317.0788
7.075,0,98.0068,2009,Medium,874.8612
,0.029943463,60.222,1985,Medium,1677.816
16.7,0.052368061,112.7176,1987,High,801.6232
7.07,0.093861144,115.5834,2002,,1267.0174
6.48,0.033968647,148.0076,2002,,886.8456
19,0.173154079,228.272,1998,,452.744
13.35,0.139735226,147.5392,2002,,3877.6192
,0.043351896,146.6418,1985,Medium,4414.254
,0.042086652,122.4388,1985,Medium,5448.9072
9.695,0.12848269,223.9404,1999,Medium,4950.8888
15,0.049357077,62.6168,2007,,958.752
11.15,0.008326735,149.9708,2007,,1956.1204
20.85,0.021362955,103.2306,1999,Medium,2404.2038
9.8,0.151420934,194.3478,1998,,387.4956
16.35,0.032511818,165.0842,1987,High,994.7052
9.6,0.022323658,101.299,2002,,1754.383
,0.019292355,129.9994,1985,Medium,3340.9844
13.35,0.048124443,216.7166,2002,,3918.8988
20.7,0.09261307,76.367,1987,High,306.268
,0.094697274,158.4604,1985,Medium,4278.4308
16.2,0.035984104,260.6278,2002,,4425.5726
,0.056596985,230.9984,1985,Medium,9267.936
,0.020618324,129.3994,1985,Medium,2055.9904
15.1,0.087584126,221.7456,2002,,6410.3224
15.7,0.038078899,122.9046,2007,,1992.0736
7.895,0.095102092,104.4332,2007,,2870.9296
,0.011953902,164.5184,1985,Medium,2807.0128
17.35,0.062799379,88.183,1987,High,539.298
7.285,0.031125709,174.3054,1987,High,4377.635
20.25,0.026005891,180.9976,2002,,2716.464
15.85,0.107765165,59.5904,1999,Medium,703.0848
6.17,0.010647477,66.3826,1999,Medium,1937.478
19.5,0.015749341,182.2608,1999,Medium,3307.6944
19.2,0.077628053,197.611,1999,Medium,3142.576
16.7,0,181.2292,2009,Medium,2554.0088
20.85,0.056695731,104.0648,2009,Medium,1869.5664
14.5,0.063993068,260.4594,2002,,5494.8474
11.395,0.069529262,233.1616,1987,High,6093.4016
7.71,0.06670068,55.2956,1999,Medium,1255.6988
,0.065203103,166.0816,1985,Medium,5033.448
,0.182514881,98.77,1985,Medium,2696.49
12.1,0.016895293,178.566,2009,Medium,898.83
14.35,0.08075758,81.896,2002,,878.856
10.395,0.112271498,58.222,1999,Medium,659.142
8.1,0.127929521,211.4902,1987,High,3610.6334
9.195,0.078502143,108.7596,2007,,2588.6304
20.7,0.047684831,212.5876,2009,Medium,1286.3256
15.7,0.123159656,110.1544,2007,,1230.3984
,0,60.2194,1985,Medium,1733.7432
16.5,0.036715907,180.0318,2002,,3969.4996
6.785,0.041947547,41.2112,1987,High,809.6128
19.5,0.082888496,178.6002,2009,Medium,1253.7014
18.2,0.012194556,57.7904,1987,High,1464.76
16.75,0.060495243,169.8106,1987,High,3251.1014
,0.014753811,231.7958,1985,Medium,5375.0034
,0.160707489,38.019,1985,Medium,1318.284
13.85,0.085622362,119.4124,2009,Medium,2251.7356
6.635,0.046350909,37.4506,2007,,1176.4686
15.2,0.031860325,235.1248,1998,,474.0496
,0,52.6666,1985,Medium,717.7324
7.605,0.129503146,164.021,2002,,3914.904
18.35,0.089163056,191.3504,2002,,3259.7568
6.59,0.105761491,84.8908,1999,Medium,1677.816
13.8,0.056960814,230.0984,1999,Medium,3707.1744
10.5,0.011026594,166.4842,2009,Medium,2652.5472
8.97,0.093203257,52.7956,2002,,1037.3164
,0.026916794,50.9666,1985,Medium,717.7324
10.6,0.035264298,86.1224,2002,,426.112
,0.035334201,115.3518,1985,Medium,2277.036
6.865,0.056919038,212.8218,1999,Medium,5770.4886
16.7,0.022047313,110.2886,1987,High,1890.2062
,0.090427268,126.2336,1985,Medium,3195.84
10.5,0,238.3248,1998,,711.0744
17.6,0.008033611,174.2422,2009,Medium,4311.055
18.1,0.178975721,155.5288,2007,,1571.288
6.655,0.016993225,211.0586,2002,,844.2344
19,0.027139013,127.3336,2007,,2940.1728
7.075,0.03777249,98.0068,1998,,291.6204
13.15,0.036746479,181.2976,2002,,3259.7568
20.1,0.022460102,226.8036,1999,Medium,3415.554
20.35,0,256.7672,2009,Medium,5624.6784
18.85,0.05213575,190.1846,1999,Medium,6687.961
16.35,0.062508438,227.1062,1999,Medium,5642.655
11.3,0.007309544,196.2426,2009,Medium,4943.565
17.5,0.015623754,182.6266,2009,Medium,3135.2522
18,0.142978223,87.4514,2002,,796.9626
7.935,0.017191055,51.535,2002,,848.895
15.5,0.15717236,149.1418,1999,Medium,588.5672
15.35,0.020310046,218.0508,1987,High,3038.7112
16.7,0.052517969,115.4176,2002,,687.1056
20.7,0.047565208,213.4876,1999,Medium,1929.4884
16,0.060797393,223.8404,1987,High,3600.6464
20.85,0.056580228,105.6648,2002,,623.1888
12.35,0.164196823,120.5124,1999,Medium,2133.2232
6.85,0.022976497,261.6594,2009,Medium,3401.5722
8.775,0,45.9428,1987,High,790.9704
18.85,0.01619866,129.2626,2007,,3147.9024
,0.014205168,56.7614,1985,Medium,2486.763
7.84,0.154120252,51.935,2009,Medium,199.74
18.25,0.089004389,196.7452,2002,,978.726
10.3,0.011117041,85.854,1987,High,2683.174
,0.089035961,260.5594,1985,Medium,9158.079
,0.024733134,40.2822,1985,Medium,1296.3126
15,0.044871033,140.3838,1987,High,2528.7084
8.325,0.029760052,38.7138,1987,High,284.2966
15.85,0.078999287,38.6506,2007,,759.012
6.26,0.031599715,111.3228,2007,,2431.5016
17.25,0.042413704,173.1764,2009,Medium,4466.1864
13.6,0.009984847,175.437,1987,High,1940.807
10.5,0.052852621,88.783,2007,,2067.309
7.975,0.014660821,85.125,2002,,2663.2
12.65,0.076354362,192.1846,2009,Medium,1146.5076
12.3,0.076709639,247.846,2002,,3448.844
5.985,0.005677876,184.8924,2002,,1665.8316
,0,184.7266,1985,Medium,8114.7704
15.15,0.012282366,132.5284,1999,Medium,1713.7692
16.35,0.054463442,163.8842,1998,,165.7842
6.135,0,151.3366,2002,,1057.9562
19.5,0.015756784,185.0608,2002,,2205.1296
9.5,0.010907967,182.3608,1987,High,2940.1728
21.35,0.115194717,258.3278,1998,,520.6556
,0.064636203,90.0804,1985,Medium,2113.2492
16.6,0.103195401,117.8466,2002,,942.7728
,0.030118338,248.8092,1985,Medium,3486.1288
8.51,0.016201845,195.2478,2007,,4262.4516
14.15,0.05837308,243.9828,1998,,731.0484
15.25,0.065999008,177.966,1999,Medium,2336.958
18.25,0.088750333,196.5452,1987,High,2348.9424
,0.100277876,196.8768,1985,Medium,7094.7648
19.2,0,127.831,2002,,1298.31
12.15,0,117.815,2007,,2330.3
8.895,0.026384672,208.9954,1999,Medium,4584.6988
10.895,0.228993134,263.4568,1998,,527.3136
16,0.065431917,76.1986,2007,,1869.5664
,0.026749991,106.928,1985,Medium,2876.256
9.195,0,43.6744,2009,Medium,407.4696
11.35,0.043333912,201.0742,2009,Medium,2189.8162
10,0.089656812,144.0102,2007,,1603.9122
20.75,0.149404057,192.8478,1998,,774.9912
9.8,0.0268952,128.402,2002,,2403.538
5.695,0.065857092,258.5646,2009,Medium,4380.2982
18.2,0.161817014,37.819,2002,,219.714
19.35,0.082197959,49.2034,1987,High,729.051
18.35,0.015335349,106.6938,2002,,1393.5194
6.36,0.00599072,163.6526,2002,,5262.4832
9.8,0.013898123,46.506,2009,Medium,372.848
,0.078912473,99.9042,1985,Medium,3273.7386
,0.059776237,231.7642,1985,Medium,5344.3766
6.635,0,39.7506,1987,High,303.6048
18.1,0.297883712,156.7288,1998,,314.2576
8.93,0.022059594,56.0614,1998,,276.307
8.3,0.03532494,38.9506,1987,High,721.0614
8.895,0.124967595,112.7544,2002,,3467.4864
8.6,0.032754431,140.5154,2009,Medium,283.6308
19,0.104035148,227.772,2007,,5206.556
7.56,0.06390019,157.263,2002,,2503.408
12.6,0.062648111,104.899,1987,High,1960.781
15.6,0.111685868,184.7924,1998,,370.1848
8.71,0.233039817,49.5376,1998,,95.8752
18.1,0.17824575,158.1288,1999,Medium,3299.7048
13.35,0.140241213,150.2392,2007,,2684.5056
,0.016516275,47.4034,1985,Medium,2187.153
19.7,0.089083914,54.593,1998,,56.593
14.3,0.131152799,78.6328,2007,,231.6984
,0.083109455,195.8426,1985,Medium,5734.5354
10,0.045818773,138.718,1987,High,1398.18
8.71,0.04605781,43.8744,1999,Medium,633.8416
12.15,0.030815427,252.0698,1998,,1014.6792
17.85,0.01806055,97.0094,2002,,2094.6068
9.5,0.035205866,171.3448,1999,Medium,2386.2272
19.75,0.012518707,190.6872,2007,,4916.2672
10.3,0.050353695,78.696,2007,,1757.712
,0.110762642,108.5912,1985,Medium,1637.868
,0.045050674,84.925,1985,Medium,1747.725
10.8,0.083016832,193.4504,2007,,2876.256
17.75,0,139.9838,2002,,1966.7732
8.575,0.023983258,106.328,2009,Medium,958.752
19.1,0.075836522,40.2138,1998,,81.2276
20.7,0.100330684,123.4388,1999,Medium,1238.388
6.57,0.066014596,259.7278,1987,High,2863.6058
5.78,0.07429945,264.9568,2002,,1845.5976
6.92,0.131128467,93.1804,1999,Medium,1561.9668
20.25,0.014816356,194.1162,1999,Medium,3848.324
13.65,0.049318315,149.005,2002,,2097.27
13.5,0.017960492,81.596,2007,,639.168
16.5,0.035801238,92.612,2009,Medium,559.272
16.7,0.038606365,146.5102,2002,,2770.3938
8.68,0.008871687,99.7384,2009,Medium,295.6152
7.235,0.058369013,115.2834,2009,Medium,1267.0174
10.8,0.049677651,245.9144,1987,High,4655.2736
6.26,0.031470832,110.2228,1999,Medium,1547.3192
5.63,0.024579432,105.3306,1999,Medium,1045.306
6.92,0.131665479,91.8804,2007,,275.6412
12.15,0.015523707,212.0928,2009,Medium,2735.1064
16.6,0.122475364,175.5738,2002,,347.5476
9.395,0.045361705,83.825,2002,,665.8
9.8,0.090390357,192.1478,1987,High,2324.9736
,0.087029712,109.2228,1985,Medium,3205.1612
9.13,0.051952573,152.3024,2002,,1821.6288
9,0.050786366,152.2024,2007,,3643.2576
6.715,0.121485195,40.2454,1987,High,587.2356
18.7,0.037699254,110.2886,2002,,2223.772
7.93,0,123.2414,2009,Medium,487.3656
18.75,0.034501405,211.7218,2007,,5770.4886
,0.053795154,117.7466,1985,Medium,1414.1592
20.85,0,115.1808,2009,Medium,1054.6272
19.2,0.100230114,112.9886,1999,Medium,1667.829
19.5,0.082719632,179.3002,2002,,2865.6032
8.18,0.0132043,143.8154,2007,,2694.4926
,0.141106202,87.9172,1985,Medium,3836.3396
16.85,0.036463975,90.7488,2002,,543.2928
14.8,0.01946418,196.3794,1987,High,1950.794
12.3,0,57.3562,1987,High,177.7686
7.435,0.123086812,206.9638,2002,,1035.319
9.195,0.118149377,160.5578,2007,,1283.6624
10.1,0.046545786,59.9878,1987,High,484.7024
16,0.065009745,79.5986,1987,High,934.7832
17.7,0.016630303,48.1034,2002,,534.6374
8.1,0.134532392,39.448,1999,Medium,878.856
20.6,0.083133128,120.1756,1999,Medium,1332.9316
20.35,0.039428167,127.9678,2009,Medium,3560.6984
8.195,0,93.1462,2009,Medium,647.8234
17.75,0.034823127,248.675,2002,,4993.5
19,0.065901299,188.7214,2009,Medium,1695.7926
12.6,0.041622264,124.0072,1999,Medium,4042.7376
,0.064933297,174.837,1985,Medium,4763.799
,0.107076832,58.7904,1985,Medium,1288.9888
17.1,0.128674983,112.3886,2002,,2334.9606
8.355,0.188322664,148.5418,2009,Medium,2207.127
18.5,0.052025392,118.4124,1987,High,2370.248
,0.065316099,189.9214,1985,Medium,5087.3778
8.975,0.01516265,101.899,1998,,103.199
9.285,0.020989132,158.6578,1987,High,2406.867
,0.115978122,183.4266,1985,Medium,7192.6374
12.5,0.081465335,220.7798,2009,Medium,6611.394
16,0.041177505,142.3496,2007,,3246.4408
14.15,0.042352822,51.6982,2009,Medium,1262.3568
20.2,0.074541867,94.1462,2009,Medium,1758.3778
13.65,0.18454121,211.5902,2002,,4672.5844
17.25,0.114160573,253.1724,2007,,3775.086
5.655,0.175352413,147.4102,1999,Medium,2478.7734
5.175,0.029471408,105.4622,1987,High,3281.7282
20,0.028282832,46.2744,2007,,1086.5856
11.8,0,46.5402,1998,,229.701
16.75,0.008208342,102.8674,2002,,1528.011
18.35,0.03334929,155.034,2009,Medium,1990.742
8.75,0.074931201,187.6556,2009,Medium,938.778
13.3,0.080131363,234.03,2009,Medium,4194.54
18.85,0.167444431,194.6136,1987,High,1166.4816
9.695,0.03033748,222.9114,1999,Medium,5764.4964
,0.014788594,174.408,1985,Medium,7443.644
11.1,0.111298111,191.7846,2007,,3057.3536
8.975,0.05268526,83.3224,1987,High,3579.3408
12.15,0.018485511,253.1698,2009,Medium,1522.0188
7.67,0.184689756,35.4216,1987,High,450.0808
13.8,0.064153845,76.9012,1987,High,607.2096
4.785,0.092516598,120.1098,1987,High,1325.6078
20,0.104245198,105.3622,1999,Medium,1270.3464
,0.041779181,43.4112,1985,Medium,1107.8912
8.395,0.07226985,254.104,2009,Medium,3542.056
6.175,0.179806961,95.2752,2009,Medium,1534.0032
8.21,0.044995631,89.2198,1999,Medium,1308.297
19.7,0.053523765,55.393,2007,,1471.418
19.6,0.041459372,89.6514,2009,Medium,1239.7196
5.845,0.105445801,214.4218,2009,Medium,1496.0526
11.395,0,151.6708,1987,High,3460.8284
7.17,0.05997133,132.1968,2009,Medium,2870.9296
5.75,0.075595405,114.7176,2007,,1259.6936
15.5,0.210375806,178.2028,1998,,177.1028
13.65,0.18520944,212.9902,2007,,3185.853
10.8,0.098566832,98.3042,1999,Medium,1488.063
11.1,0.11084417,189.2846,1999,Medium,5159.2842
,0.0350152,182.0318,1985,Medium,5954.2494
12.8,0.023567538,226.8404,1999,Medium,4500.808
8.785,0,123.0414,1998,,121.8414
7.89,0.036207786,121.0782,2002,,3456.1678
16.85,0.044377096,185.8266,1987,High,1659.8394
16.35,0.034742632,127.402,2002,,759.012
,0.116915909,159.4578,1985,Medium,4974.1918
17.35,0.062979148,87.983,2002,,1707.777
,0.068604503,197.3768,1985,Medium,7488.9184
,0.03294861,116.8124,1985,Medium,2488.7604
12.6,0.007450258,186.7556,1987,High,2816.334
5.32,0.093027718,101.4674,1999,Medium,2954.1546
,0.014522363,50.2324,1985,Medium,1298.31
17.6,0.019012262,237.159,2007,,3072.667
7.55,0.027212058,152.734,1999,Medium,2756.412
17.25,0.079113947,99.2068,1998,,97.2068
14.3,0.049634817,212.5586,1987,High,3165.879
7.67,0.185218446,36.3216,2002,,415.4592
13.8,0.162462044,55.893,1998,,226.372
10.395,0.031273559,160.0604,1999,Medium,1267.6832
17.35,0.146895866,149.605,2009,Medium,3745.125
16.35,0.013420879,104.828,2009,Medium,1810.976
15.2,0.012184999,50.3034,2007,,145.8102
14.3,0.026428924,78.2302,2009,Medium,554.6114
,0.045243613,146.8102,1985,Medium,3499.4448
,0.076790922,172.1106,1985,Medium,2566.659
10.1,0.045950475,38.2848,2007,,1230.3984
,0.133673087,41.548,1985,Medium,918.804
,0.060252433,170.7106,1985,Medium,3079.9908
8.18,0.082529704,56.9588,1999,Medium,744.3644
12.35,0.072541731,48.5692,2002,,886.8456
16,0.017536671,45.5718,1987,High,1039.9796
8.395,0.072088552,253.704,1999,Medium,4554.072
4.785,0.092781435,119.7098,2002,,1807.647
15.6,0.025342692,174.3054,2007,,1751.054
20.35,0,120.9072,1999,Medium,1470.0864
17.7,0.030108283,165.9816,2007,,4362.3216
,0.044391149,164.3842,1985,Medium,4476.1734
20.25,0.022639471,248.4092,2007,,2241.0828
8.945,0,264.791,2007,,4733.838
20.35,0.039329257,127.6678,1999,Medium,2924.8594
16.75,0.008579863,72.3038,1999,Medium,960.7494
12.1,0.028164527,178.166,1998,,539.298
13.65,0.016001434,230.6668,2007,,1842.9344
,0.013529884,106.2596,1985,Medium,1402.1748
17.7,0.011636708,94.541,2002,,1061.951
,0.044767801,241.8854,1985,Medium,4592.0226
17.5,0.028009382,141.718,1998,,419.454
17.7,0.1164455,182.8266,1987,High,5163.9448
16.1,0.013584408,107.7596,1987,High,323.5788
9.8,0.026950104,128.402,2009,Medium,1265.02
7.565,0.054751689,54.793,2002,,622.523
12.15,0.058516562,164.1552,1999,Medium,5198.5664
9.31,0.037923509,61.651,1987,High,379.506
19.25,0.058365706,82.1908,1999,Medium,2432.8332
9.5,0.031346387,110.7228,2002,,1657.842
15.35,0.015663185,143.947,1987,High,3006.087
,0.063750302,153.4682,1985,Medium,2287.023
,0.07252476,120.3098,1985,Medium,1687.1372
17.85,0.038040837,189.1188,2007,,3237.1196
7.02,0.049823902,82.225,1987,High,2746.425
,0.014560297,81.425,1985,Medium,1331.6
,0.026408698,53.2614,1985,Medium,607.8754
15.1,0.026046138,147.2076,2002,,1773.6912
11.8,0.121848436,46.8402,2002,,597.2226
19.25,0.108470504,33.4558,2009,Medium,441.4254
13.65,0,55.8588,2002,,1431.47
13.35,0.038494623,240.2564,1987,High,2860.2768
,0.122830885,86.9514,1985,Medium,3364.9532
